area;UNIDADE;SOLO_EMBRA;MAT_ORIGEM;LEGENDA;Declividade (calculada em aula)
3991,513879;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
273,8647201;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2108,830847;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
8293,874504;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
11536,57131;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;4
774,6502345;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
589,2728532;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
206,0487603;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
371,5306319;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
265,0148391;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
6801,034837;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;4
12643,32753;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
4951,877492;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2437,593001;Facies Caxias;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
524,9386741;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 30% de antropico;5
4439,96478;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
5144,932226;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
6815,737005;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
7173,116474;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
4123,328584;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
11456,18347;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1311,126565;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
28434,56232;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
1858,692325;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;4
6834,882334;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
20239,10304;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1304,495189;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1032,688608;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
752,94865;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
731,3731055;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
277,6810424;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2665,93045;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
96675,0916;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
7524,454881;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
7026,134738;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
27598,03386;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
10141,99163;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
7327,265021;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
3714,505889;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
10716,67578;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;4
7624,83144;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;4
23978,50904;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
53722,30663;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;4
8937,020675;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;3
27308,03363;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2154,419969;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
918,0341407;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
475,4015705;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
48037,88865;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1589,592886;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1243,893046;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
837,4736018;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
17947,40161;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1385,652557;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
81063,21512;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
900,9598666;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
12139,65829;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
73170,66656;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
865,6744384;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
7614,64393;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
7476,119834;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
676,2470481;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
16622,77092;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
13026,43161;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
526,9127556;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1820,271828;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
18904,42029;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
5452,036552;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
952,4337286;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
26675,40396;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1251,311548;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1387,632411;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2294,74961;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
1269,056419;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
452,3093971;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
57523,74545;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
57523,74545;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
21589,00875;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
21589,00875;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
22489,91836;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1029,401873;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
